,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Arm_Strength_x,Exchange_x,Current_Year_y.2,Arm_Strength_y,Exchange_y,Current_Year,Arm_Strength,Exchange
10,10,10,10,10,10,10,1B,2B,Stolen Base 2B,682928,CJ Abrams,622250,Josh Sborz,657041,Lane Thomas,R,Mitch Garver,641598,5,1,6,False,2023-07-09,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
11,11,11,11,11,11,11,1B,,Caught Stealing 2B,643396,Isiah Kiner-Falefa,641540,Dane Dunning,624431,Jose Trevino,R,Mitch Garver,641598,1,1,5,False,2023-06-23,Caught,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
12,12,12,12,12,12,12,1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,681982,Grant Anderson,543807,George Springer,R,Mitch Garver,641598,8,7,6,True,2023-06-18,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
13,13,13,13,13,13,13,1B,2B,Stolen Base 2B,543807,George Springer,681982,Grant Anderson,593160,Whit Merrifield,R,Mitch Garver,641598,8,7,6,True,2023-06-18,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
14,14,14,14,14,14,14,1B,2B,Stolen Base 2B,669242,Tommy Edman,666142,Cole Ragans,680977,Brendan Donovan,L,Mitch Garver,641598,6,4,6,True,2023-06-06,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
15,15,15,15,15,15,15,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,622250,Josh Sborz,606192,Teoscar Hernández,R,Mitch Garver,641598,6,3,4,True,2023-06-03,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
16,16,16,16,16,16,16,1B,2B,Stolen Base 2B,621020,Dansby Swanson,543135,Nathan Eovaldi,664023,Ian Happ,R,Mitch Garver,641598,0,0,4,False,2023-04-07,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
17,17,17,17,17,17,17,1B,2B,Stolen Base 2B,595909,Jake Cave,543135,Nathan Eovaldi,669016,Brandon Marsh,R,Mitch Garver,641598,2,0,3,True,2023-04-01,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
18,18,18,18,18,18,18,1B,,Caught Stealing 2B,608336,Joey Gallo,519293,Will Smith,670242,Matt Wallner,L,Mitch Garver,641598,5,6,8,True,2023-09-02,Caught,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
19,19,19,19,19,19,19,1B,2B,Stolen Base 2B,668930,Brice Turang,519293,Will Smith,621438,Tyrone Taylor,L,Mitch Garver,641598,1,5,8,True,2023-08-20,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
20,20,20,20,20,20,20,1B,,Caught Stealing 2B,500871,Eduardo Escobar,592351,Jon Gray,545341,Randal Grichuk,R,Mitch Garver,641598,0,1,7,True,2023-08-16,Caught,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
21,21,21,21,21,21,21,1B,2B,Stolen Base 2B,669397,Nick Allen,453286,Max Scherzer,665923,Esteury Ruiz,R,Mitch Garver,641598,1,4,5,False,2023-08-08,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
22,22,22,22,22,22,22,1B,2B,Stolen Base 2B,641313,Tim Anderson,571760,Andrew Heaney,650391,Eloy Jiménez,L,Mitch Garver,641598,0,0,4,True,2023-08-01,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
23,23,23,23,23,23,23,2B,3B,Stolen Base 3B,630105,Jake Cronenworth,527048,Martín Pérez,663757,Trent Grisham,L,Mitch Garver,641598,4,0,6,False,2023-07-29,Stolen,3B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
24,24,24,24,24,24,24,1B,2B,Stolen Base 2B,673490,Ha-Seong Kim,641540,Dane Dunning,665487,Fernando Tatis Jr.,R,Mitch Garver,641598,0,0,1,False,2023-07-28,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
25,25,25,25,25,25,25,1B,2B,Stolen Base 2B,670042,Luke Raley,641540,Dane Dunning,664040,Brandon Lowe,R,Mitch Garver,641598,0,1,1,True,2023-07-17,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
26,26,26,26,26,26,26,1B,2B,Stolen Base 2B,666139,Josh Lowe,641540,Dane Dunning,670764,Taylor Walls,R,Mitch Garver,641598,0,2,4,True,2023-07-17,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
27,27,27,27,27,27,27,1B,2B,Stolen Base 2B,669743,Alex Call,641540,Dane Dunning,682928,CJ Abrams,R,Mitch Garver,641598,0,0,3,False,2023-07-09,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
28,28,28,28,28,28,28,1B,2B,Stolen Base 2B,682928,CJ Abrams,622250,Josh Sborz,657041,Lane Thomas,R,Mitch Garver,641598,5,1,6,False,2023-07-09,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
29,29,29,29,29,29,29,1B,,Caught Stealing 2B,643396,Isiah Kiner-Falefa,641540,Dane Dunning,624431,Jose Trevino,R,Mitch Garver,641598,1,1,5,False,2023-06-23,Caught,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
30,30,30,30,30,30,30,1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,681982,Grant Anderson,543807,George Springer,R,Mitch Garver,641598,8,7,6,True,2023-06-18,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
31,31,31,31,31,31,31,1B,2B,Stolen Base 2B,543807,George Springer,681982,Grant Anderson,593160,Whit Merrifield,R,Mitch Garver,641598,8,7,6,True,2023-06-18,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
32,32,32,32,32,32,32,1B,2B,Stolen Base 2B,669242,Tommy Edman,666142,Cole Ragans,680977,Brendan Donovan,L,Mitch Garver,641598,6,4,6,True,2023-06-06,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
33,33,33,33,33,33,33,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,622250,Josh Sborz,606192,Teoscar Hernández,R,Mitch Garver,641598,6,3,4,True,2023-06-03,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
