,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,0,1B,2B,Stolen Base 2B,664901,Danny Mendick,592836,Taijuan Walker,677595,Ronny Mauricio,R,J.T. Realmuto,592663,4,0,7,False,2023-09-30,Stolen,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
1,1,1,1,1B,,Caught Stealing 2B,596019,Francisco Lindor,656814,Luis F. Ortiz,621466,DJ Stewart,R,J.T. Realmuto,592663,4,1,8,False,2023-09-30,Caught,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
2,2,2,2,1B,2B,Stolen Base 2B,669707,Jared Triolo,656546,Jeff Hoffman,680779,Henry Davis,R,J.T. Realmuto,592663,2,2,10,True,2023-09-26,Stolen,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
3,3,3,3,1B,,Caught Stealing 2B,621466,DJ Stewart,554430,Zack Wheeler,683146,Brett Baty,R,J.T. Realmuto,592663,3,2,4,True,2023-09-23,Caught,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
4,4,4,4,1B,2B,Stolen Base 2B,596019,Francisco Lindor,624133,Ranger Suárez,643446,Jeff McNeil,L,J.T. Realmuto,592663,2,1,2,True,2023-09-21,Stolen,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
5,5,5,5,1B,2B,Stolen Base 2B,596019,Francisco Lindor,518886,Craig Kimbrel,668901,Mark Vientos,R,J.T. Realmuto,592663,5,4,8,True,2023-09-21,Stolen,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
6,6,6,6,1B,2B,Stolen Base 2B,643446,Jeff McNeil,518886,Craig Kimbrel,683146,Brett Baty,R,J.T. Realmuto,592663,5,4,8,True,2023-09-21,Stolen,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
7,7,7,7,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,547179,Michael Lorenzen,645277,Ozzie Albies,R,J.T. Realmuto,592663,3,0,5,False,2023-09-19,Stolen,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
8,8,8,8,2B,3B,Stolen Base 3B,502671,Paul Goldschmidt,605400,Aaron Nola,571448,Nolan Arenado,R,J.T. Realmuto,592663,2,4,3,False,2023-09-15,Stolen,3B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
9,9,9,9,1B,2B,Stolen Base 2B,676475,Alec Burleson,605400,Aaron Nola,571448,Nolan Arenado,R,J.T. Realmuto,592663,2,4,3,False,2023-09-15,Stolen,2B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
10,10,10,10,2B,3B,Stolen Base 3B,542932,Jon Berti,621381,Matt Strahm,641658,Garrett Hampson,L,J.T. Realmuto,592663,3,3,7,True,2023-09-10,Stolen,3B,2023,2024,29.8,2024,85.1,0.65,2024,85.1,0.65,2024, 85.1, 0.65
