,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,0,1B,2B,Stolen Base 2B,596019,Francisco Lindor,450203,Charlie Morton,624413,Pete Alonso,R,Chadwick Tromp,644433,2,0,5,False,2023-05-01,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
1,1,1,1,1B,2B,Stolen Base 2B,596019,Francisco Lindor,450203,Charlie Morton,624413,Pete Alonso,R,Chadwick Tromp,644433,2,0,5,False,2023-04-30,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
2,2,2,2,1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,657140,Kyle Wright,643265,Garrett Cooper,R,Chadwick Tromp,644433,0,0,1,True,2023-04-27,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
3,3,3,3,1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,445926,Jesse Chavez,643265,Garrett Cooper,R,Chadwick Tromp,644433,4,5,9,True,2023-04-27,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
4,4,4,4,2B,3B,Stolen Base 3B,663656,Kyle Tucker,608331,Max Fried,682073,David Hensley,L,Chadwick Tromp,644433,0,0,2,True,2023-04-23,Stolen,3B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
5,5,5,5,1B,2B,Stolen Base 2B,596019,Francisco Lindor,450203,Charlie Morton,624413,Pete Alonso,R,Chadwick Tromp,644433,2,0,5,False,2023-05-01,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
6,6,6,6,1B,2B,Stolen Base 2B,596019,Francisco Lindor,450203,Charlie Morton,624413,Pete Alonso,R,Chadwick Tromp,644433,2,0,5,False,2023-04-30,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
7,7,7,7,1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,657140,Kyle Wright,643265,Garrett Cooper,R,Chadwick Tromp,644433,0,0,1,True,2023-04-27,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
8,8,8,8,1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,445926,Jesse Chavez,643265,Garrett Cooper,R,Chadwick Tromp,644433,4,5,9,True,2023-04-27,Stolen,2B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
9,9,9,9,2B,3B,Stolen Base 3B,663656,Kyle Tucker,608331,Max Fried,682073,David Hensley,L,Chadwick Tromp,644433,0,0,2,True,2023-04-23,Stolen,3B,2023,2024,29.8,2024,80.7,0.59,2024,80.7,0.59,2024, 80.7, 0.59
