,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Arm_Strength_x,Exchange_x,Current_Year_y.1,Arm_Strength_y,Exchange_y,Current_Year,Arm_Strength,Exchange
0,0,0,0,0,1B,2B,Stolen Base 2B,666971,Lourdes Gurriel Jr.,434378,Justin Verlander,672515,Gabriel Moreno,R,Martín Maldonado,455117,0,1,4,False,2023-09-30,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
1,1,1,1,1,1B,,Caught Stealing 2B,664983,Jake McCarthy,650556,Bryan Abreu,672515,Gabriel Moreno,R,Martín Maldonado,455117,0,1,9,False,2023-09-30,Caught,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
2,2,2,2,2,1B,2B,Stolen Base 2B,607054,Jace Peterson,664353,José Urquidy,672695,Geraldo Perdomo,R,Martín Maldonado,455117,0,0,2,False,2023-09-29,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
3,3,3,3,3,2B,3B,Stolen Base 3B,682998,Corbin Carroll,664353,José Urquidy,572233,Christian Walker,R,Martín Maldonado,455117,0,0,3,False,2023-09-29,Stolen,3B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
4,4,4,4,4,2B,3B,Stolen Base 3B,682998,Corbin Carroll,593576,Héctor Neris,502054,Tommy Pham,R,Martín Maldonado,455117,0,2,8,False,2023-09-29,Stolen,3B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
5,5,5,5,5,1B,2B,Stolen Base 2B,606466,Ketel Marte,593576,Héctor Neris,502054,Tommy Pham,R,Martín Maldonado,455117,0,2,8,False,2023-09-29,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
6,6,6,6,6,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,664285,Framber Valdez,606192,Teoscar Hernández,L,Martín Maldonado,455117,1,0,1,False,2023-09-27,Stolen,3B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
7,7,7,7,7,1B,2B,Stolen Base 2B,664059,Sam Haggerty,664285,Framber Valdez,676609,José Caballero,L,Martín Maldonado,455117,1,0,2,False,2023-09-27,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
8,8,8,8,8,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,664299,Cristian Javier,686681,Michael Massey,R,Martín Maldonado,455117,0,0,1,False,2023-09-15,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
9,9,9,9,9,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,664299,Cristian Javier,521692,Salvador Perez,R,Martín Maldonado,455117,1,0,3,False,2023-09-15,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
10,10,10,10,10,1B,2B,Stolen Base 2B,667670,Brent Rooker,664285,Framber Valdez,672478,Jordan Diaz,L,Martín Maldonado,455117,0,1,4,True,2023-09-11,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
11,11,11,11,11,2B,3B,Stolen Base 3B,593428,Xander Bogaerts,664299,Cristian Javier,676946,Matthew Batten,R,Martín Maldonado,455117,0,0,2,True,2023-09-09,Stolen,3B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
12,12,12,12,12,1B,2B,Stolen Base 2B,676946,Matthew Batten,664299,Cristian Javier,663757,Trent Grisham,R,Martín Maldonado,455117,1,4,4,True,2023-09-09,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
13,13,13,13,13,1B,2B,Stolen Base 2B,663757,Trent Grisham,686613,Hunter Brown,673490,Ha-Seong Kim,R,Martín Maldonado,455117,1,4,2,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
14,14,14,14,14,1B,2B,Stolen Base 2B,673490,Ha-Seong Kim,686613,Hunter Brown,665487,Fernando Tatis Jr.,R,Martín Maldonado,455117,1,5,5,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
15,15,15,15,15,1B,2B,Stolen Base 2B,673490,Ha-Seong Kim,664353,José Urquidy,665742,Juan Soto,R,Martín Maldonado,455117,2,6,7,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
16,16,16,16,16,2B,3B,Stolen Base 3B,673490,Ha-Seong Kim,664353,José Urquidy,592518,Manny Machado,R,Martín Maldonado,455117,2,8,7,True,2023-09-08,Stolen,3B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
17,17,17,17,17,1B,2B,Stolen Base 2B,665742,Juan Soto,664353,José Urquidy,592518,Manny Machado,R,Martín Maldonado,455117,2,8,7,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
18,18,18,18,18,1B,2B,Stolen Base 2B,608671,Travis Jankowski,434378,Justin Verlander,665750,Leody Taveras,R,Martín Maldonado,455117,1,8,5,False,2023-09-06,Stolen,2B,2023,2024,29.8,2024,29.8,2024,85.4,0.69,2024,85.4,0.69,2024, 85.4, 0.69
